"Type","au_id_k","title_id_k","au_ord_s","au_ord_t","royaltyper_s","royaltyper_t"
"In1","043-55-4829","YBH6SM","1","","74",""
"In1","044-57-2845","QINN9I","1","","52",""
"In1","050-95-0398","U5LKGK","3","","71",""
"In1","051-10-2975","GO2IKE","1","","46",""
"In1","051-10-2975","J0X518","1","","92",""
"In1","051-49-4978","VMWB5P","1","","64",""
"In1","051-49-4978","WTYI69","1","","80",""
"In1","051-52-5206","JLQCI7","1","","67",""
"In1","052-67-0257","06KF2P","1","","43",""
"In1","052-67-0257","D58I5M","1","","66",""
"In1","052-84-7851","6CIMMV","2","","76",""
"In1","053-09-5725","JD8MPQ","1","","42",""
"In1","053-11-7028","PNP111","2","","50",""
"In1","054-14-2608","RGNFS9","2","","97",""
"In1","054-86-5613","BSBNTV","2","","41",""
"In1","055-12-1033","24ZT26","2","","64",""
"In1","055-19-3679","6WBX10","1","","54",""
"In1","055-39-8562","AA0OQH","1","","94",""
"In1","056-58-7895","DS32F9","1","","50",""
"In1","057-36-0238","O5FZKD","2","","44",""
"In1","057-36-0238","OENFA4","1","","77",""
"In1","057-75-0148","8YAKBA","1","","97",""
"In1","058-96-7586","TQOHI0","1","","95",""
"In1","059-14-0926","7VJC1P","1","","96",""
"In1","060-59-6522","PI2B1Q","1","","42",""
"In1","060-95-3315","CFT9LP","1","","44",""
"In1","061-28-5937","8AWCXE","2","","48",""
"In1","061-30-8383","HMYMKV","1","","98",""
"In1","061-30-8383","M3UEH2","2","","68",""
"In1","061-91-4608","G7ZHM4","2","","45",""
"In1","062-47-3784","L6QD9Q","1","","95",""
"In1","062-47-3784","OB6NR8","3","","69",""
"In1","063-30-2620","I4QDYR","1","","<NULL>",""
"In1","063-65-8388","LK810F","1","","81",""
"In1","063-65-8388","SYM9Z0","1","","80",""
"In1","064-41-7606","L2QA5A","2","","99",""
"In1","064-41-7606","Q8YPGM","2","","57",""
"In1","064-83-7055","J2VPX9","2","","98",""
"In1","066-18-3003","781WT2","2","","92",""
"In1","066-18-3003","8RUGEF","1","","41",""
"In1","067-39-6735","QIKI6Q","1","","78",""
"In1","070-40-4200","68MHC9","1","","54",""
"In1","073-66-1005","8AD91N","2","","82",""
"In1","074-70-9236","074QW3","2","","70",""
"In1","074-70-9236","AXMKAX","1","","87",""
"In1","076-81-1053","K3PFUY","2","","42",""
"In1","076-81-1053","QBXIEH","1","","89",""
"In1","076-97-2258","781WT2","2","","60",""
"In1","076-97-2258","SILX9L","2","","59",""
"In1","077-85-8188","AXMKAX","1","","99",""
"In1","077-85-8188","T977KF","1","","82",""
"In1","080-66-5741","WQC402","1","","94",""
"In1","085-02-1051","H5ORLT","2","","92",""
"In1","085-02-1051","WJ1384","1","","97",""
"In1","088-50-6761","4HG6I2","1","","40",""
"In1","088-55-7091","1I8VM9","1","","50",""
"In1","090-41-6224","742TDR","1","","70",""
"In1","090-41-6224","8XS43C","1","","93",""
"In1","090-51-2933","MG3LH4","2","","78",""
"In1","090-94-5024","OENFA4","1","","92",""
"In1","090-94-5024","VPG5BR","1","","79",""
"In1","091-75-9203","JP0LOM","1","","48",""
"In1","091-93-0436","QSVY9L","3","","95",""
"In1","091-93-0436","TQDBQU","1","","48",""
"In1","092-19-4231","U258Y5","1","","65",""
"In1","092-50-1798","IFR5KZ","2","","76",""
"In1","092-50-1798","YN8CKN","1","","44",""
"In1","094-54-8249","BVBEX5","1","","58",""
"In1","097-03-4921","LNPR4N","1","","98",""
"In1","097-03-4921","US7LV7","1","","88",""
"In1","097-18-1239","DCHNFW","1","","97",""
"In1","097-18-1239","GICHLV","2","","83",""
"In1","098-77-8150","7W2799","1","","70",""
"In1","099-05-2547","8A8FBD","1","","100",""
"In1","099-05-2547","EVLLWN","1","","75",""
"In1","100-31-2490","ZA6VF1","1","","85",""
"In1","100-31-2490","ZKYSUT","1","","92",""
"In1","101-67-4013","V1NU46","1","","69",""
"In1","105-02-0420","A0R35D","1","","70",""
"In1","105-82-0017","MFZOPB","1","","67",""
"In1","105-99-1378","55MJ7A","1","","62",""
"In1","105-99-1378","GABH6P","2","","42",""
"In1","106-02-3609","VAOBRL","1","","59",""
"In1","106-06-3072","07S0WD","2","","83",""
"In1","106-06-3072","PYX6FA","1","","70",""
"In1","107-19-5304","8HE49J","1","","58",""
"In1","107-19-5304","ZAFV5M","3","","51",""
"In1","107-78-1658","BJSCMO","1","","81",""
"In1","107-94-4544","DM9346","1","","71",""
"In1","108-40-3049","D0V3U6","1","","90",""
"In1","108-40-3049","R4J6W0","1","","97",""
"In1","108-87-5163","78RDTC","1","","99",""
"In1","108-87-5163","VMCG3E","1","","82",""
"In1","109-81-4461","BTBOGR","1","","74",""
"In1","109-81-4461","DB9I6H","2","","58",""
"In1","109-92-4754","0BNW7B","1","","96",""
"In1","109-92-4754","BONHBK","1","","54",""
"In1","110-08-7189","P98GBF","1","","50",""
"In1","110-08-7189","T9J3VN","2","","87",""
"In1","111-76-3094","EFPPYF","1","","72",""
"In1","111-76-3094","GLXZGL","2","","50",""
"In1","111-98-0416","GOKUV","2","","92",""
"In1","113-95-9612","HCPB0L","1","","58",""
"In1","118-71-3596","JE3SVV","1","","60",""
"In1","118-71-3596","S07G6K","2","","53",""
"In1","120-33-8347","05B4X1","1","","68",""
"In1","120-89-2676","9GR5QU","2","","61",""
"In1","123-78-3697","B54PR","2","","52",""
"In1","123-78-3697","VRHHJP","1","","41",""
"In1","125-33-4212","EA19TH","1","","84",""
"In1","125-33-4212","JAHMR8","1","","40",""
"In1","125-58-7061","KH4BM9","2","","77",""
"In1","126-54-5139","095CST","2","","89",""
"In1","126-54-5139","IOF5AK","2","","87",""
"In1","126-62-4225","TWOEBC","1","","83",""
"In1","126-64-2516","60QLX2","1","","47",""
"In1","128-49-2557","FK3NZU","1","","58",""
"In1","128-49-2557","X6042X","1","","56",""
"In1","128-73-2319","HZG9J1","1","","42",""
"In1","128-74-3735","IXCI5P","1","","57",""
"In1","128-74-3735","YAUNW8","2","","47",""
"In1","131-25-9721","O5FZKD","2","","93",""
"In1","131-25-9721","ZKYSUT","1","","<NULL>",""
"In1","131-43-1376","I5GCWD","2","","57",""
"In1","131-43-1376","MJUM86","2","","90",""
"In1","133-56-8059","PT7DHC","2","","66",""
"In1","133-56-8059","R7B4ZZ","1","","41",""
"In1","134-81-5976","XE27BL","2","","68",""
"In1","135-09-3634","R03U43","1","","57",""
"In1","135-32-8722","ANQ9R5","1","","<NULL>",""
"In1","135-32-8722","IJB8EM","1","","57",""
"In1","137-27-9046","G9VLPB","1","","87",""
"In1","138-23-3973","CCQCD1","1","","73",""
"In1","139-31-8547","CV0BJW","2","","79",""
"In1","141-37-0213","1JWKBJ","1","","46",""
"In1","141-37-0213","VGPEMC","1","","79",""
"In1","142-54-6738","P77568","3","","63",""
"In1","142-84-6524","0TS1AF","2","","41",""
"In1","142-84-6524","H5ORLT","2","","86",""
"In1","143-73-3311","UED766","1","","66",""
"In1","144-93-0647","IKEZ4M","1","","74",""
"In1","144-93-0647","SNI0KF","1","","90",""
"In1","145-70-1504","DZHEF4","2","","82",""
"In1","145-70-1504","W9MXAG","1","","75",""
"In1","146-40-7056","AJ9K8W","2","","40",""
"In1","148-13-6665","L4CDG","1","","95",""
"In1","148-42-8211","VSE7WV","1","","62",""
"In1","148-97-2623","06XCF3","2","","65",""
"In1","148-97-2623","EOQD8T","2","","61",""
"In1","149-09-3348","A6J1AU","3","","64",""
"In1","149-09-3348","A78LNS","1","","48",""
"In1","149-32-6606","V0NP0C","1","","40",""
"In1","152-57-2614","M1NWQ0","1","","90",""
"In1","152-57-2614","NR94N0","2","","84",""
"In1","154-76-5358","2P2TTL","3","","86",""
"In1","156-88-3680","EX2ZQJ","2","","75",""
"In1","159-06-6204","DD98H7","2","","87",""
"In1","161-04-7073","FJKIUT","1","","58",""
"In1","162-01-1013","JOO1BQ","1","","59",""
"In1","162-01-1013","X6TZHU","1","","69",""
"In1","162-30-7785","Y7U19V","1","","49",""
"In1","162-30-7785","YN8CKN","1","","100",""
"In1","162-51-0027","0BNW7B","1","","56",""
"In1","162-51-0027","P3VV4R","1","","74",""
"In1","162-70-3230","SY27SA","3","","42",""
"In1","162-99-7748","1D5YD8","1","","69",""
"In1","162-99-7748","U2WDUQ","1","","72",""
"In1","166-66-3606","4G1APE","1","","93",""
"In1","166-66-3606","S4F1QX","1","","59",""
"In1","167-33-7724","WO7Y0J","2","","61",""
"In1","168-36-7274","TDKDRA","1","","71",""
"In1","168-36-7274","WTYI69","1","","62",""
"In1","169-09-6540","C661VL","3","","55",""
"In1","169-09-6540","NXK5BY","1","","48",""
"In1","170-05-1129","D9TMOX","1","","90",""
"In1","170-05-1129","S9SD2N","1","","65",""
"In1","170-24-1331","TDL8TB","3","","42",""
"In1","170-57-8970","I1DWDN","2","","84",""
"In1","170-57-8970","M5QUCH","2","","70",""
"In1","172-21-3003","LNPR4N","1","","43",""
"In1","172-21-3003","NIO1EM","1","","57",""
"In1","172-25-2336","DKFMN7","1","","71",""
"In1","174-18-0914","GB9EAL","1","","62",""
"In1","175-00-6302","GICHLV","2","","91",""
"In1","175-00-6302","JI5DSK","1","","94",""
"In1","177-64-8069","LYS63V","2","","51",""
"In1","177-64-8069","ZWQQCK","2","","89",""
"In1","179-61-0200","4XJEG6","1","","61",""
"In1","179-61-0200","OF8DGA","1","","60",""
"In1","180-47-3854","IOF5AK","2","","46",""
"In1","180-47-3854","JN1DLK","1","","68",""
"In1","181-72-2096","07S0WD","2","","56",""
"In1","181-72-2096","MOXZ24","1","","91",""
"In1","181-79-4047","QBXIEH","1","","40",""
"In1","181-79-4047","TW2HRB","1","","96",""
"In1","184-68-3225","89WQ15","1","","56",""
"In1","184-79-5865","46DCIP","1","","93",""
"In1","184-79-5865","CRI5E6","1","","93",""
"In1","187-43-1959","TBG2AP","1","","64",""
"In1","189-82-4950","RNUOAW","1","","49",""
"In1","189-98-5484","Z04VZU","1","","43",""
"In1","190-89-9725","NPYIZK","1","","82",""
"In1","191-67-7426","2G6RMM","2","","77",""
"In1","191-67-7426","7NGQJE","2","","97",""
"In1","192-39-8844","KKIHW9","1","","62",""
"In1","192-39-8844","UHSUZ7","1","","62",""
"In1","192-86-8474","V8ATMW","2","","55",""
"In1","192-86-8474","XRYKH7","2","","46",""
"In1","192-96-1750","4NF44J","1","","69",""
"In1","193-30-9166","5QO48U","2","","43",""
"In1","193-30-9166","C64UWB","1","","51",""
"In1","195-12-2276","LZESBZ","1","","84",""
"In1","195-70-5385","ZJON0J","2","","83",""
"In1","196-10-0005","NXGB3T","1","","81",""
"In1","196-63-0399","8SW1VY","1","","72",""
"In1","196-72-8410","GEXW15","2","","42",""
"In1","196-72-8410","XQ7OYY","2","","65",""
"In1","199-77-6436","TEM7ZN","1","","48",""
"In1","199-77-6436","ZUN4K9","1","","41",""
"In1","199-80-4413","0V1FXQ","1","","51",""
"In1","199-80-4413","XW292K","1","","64",""
"In1","199-89-7236","7DERPL","2","","66",""
"In1","200-79-4022","GV2K0S","1","","73",""
"In1","200-79-4022","RZ46MF","1","","89",""
"In1","201-06-0843","Y72N33","2","","41",""
"In1","201-28-7512","RATVQ0","2","","87",""
"In1","202-16-8169","TSQUT5","1","","89",""
"In1","204-05-8509","SP6Q6Z","1","","67",""
"In1","205-29-2040","C43Q0R","2","","77",""
"In1","207-64-2087","QWGP4L","2","","59",""
"In1","207-78-0305","AQPBSP","1","","80",""
"In1","207-78-0305","VJ4UH5","1","","52",""
"In1","207-89-8898","7UAZ73","1","","62",""
"In1","209-69-4384","STUHZC","2","","42",""
"In1","209-69-4384","TPOV1J","2","","68",""
"In1","210-67-6548","IJB8EM","1","","44",""
"In1","210-67-6548","NO0ZRO","1","","90",""
"In1","210-93-9006","H602VX","1","","45",""
"In1","210-93-9006","THINW6","1","","40",""
"In1","211-02-7976","H0LPNJ","1","","81",""
"In1","211-02-7976","L6QD9Q","1","","60",""
"In1","212-45-2924","1WWWE1","1","","100",""
"In1","212-95-4422","6OLM8R","2","","58",""
"In1","214-33-4175","MD2DV7","1","","56",""
"In1","214-33-4175","YW8FK0","1","","98",""
"In1","214-83-3733","4Y5QBA","2","","87",""
"In1","214-83-3733","RDFUE1","2","","58",""
"In1","215-05-6763","NTFFTA","1","","74",""
"In1","215-08-0738","5NPONL","2","","49",""
"In1","215-08-0738","CTQF2G","2","","42",""
"In1","215-57-6534","LD5MGP","2","","47",""
"In1","215-57-6534","LN809F","1","","46",""
"In1","217-27-5883","F7UJ96","1","","89",""
"In1","217-29-0815","K0Q7N1","1","","68",""
"In1","217-29-0815","ZOD9A8","1","","49",""
"In1","218-12-6426","54M8BA","1","","83",""
"In1","218-12-6426","JNHGLL","1","","<NULL>",""
"In1","218-26-1676","H9M9HV","2","","73",""
"In1","218-26-1676","INUC6Q","1","","67",""
"In1","218-68-5242","ID268A","1","","41",""
"In1","218-68-5242","R4J6W0","1","","89",""
"In1","219-41-4410","56QQI1","1","","90",""
"In1","219-96-9207","9UW5SK","1","","46",""
"In1","219-96-9207","SRK7QK","1","","63",""
"In1","220-43-7067","MJOD8B","2","","78",""
"In1","220-43-7067","PV83SK","1","","95",""
"In1","222-74-4390","KD20P9","2","","49",""
"In1","223-28-0048","AIX2MT","1","","58",""
"In1","223-28-0048","RS8Z13","2","","65",""
"In1","223-43-9216","GZPE5H","2","","83",""
"In1","223-87-5703","D83JIL","1","","88",""
"In1","224-43-7178","DUGM55","1","","48",""
"In1","224-84-7036","HD3HEX","1","","61",""
"In1","224-84-7036","WWWDSW","1","","94",""
"In1","226-09-7377","CQRC1Q","1","","71",""
"In1","226-09-7377","H0LPNJ","1","","58",""
"In1","227-55-4204","6OLKBQ","1","","73",""
"In1","227-82-7495","1M1GHG","1","","78",""
"In1","231-34-7770","U79BOO","2","","90",""
"In1","231-94-2881","HNM69A","1","","82",""
"In1","233-20-7794","UMVRXE","1","","40",""
"In1","233-28-2505","2DQWR2","2","","53",""
"In1","233-28-2505","OBCRUZ","1","","81",""
"In1","233-40-3827","ACLUZU","1","","98",""
"In1","233-40-3827","NUCGRO","1","","64",""
"In1","233-69-3803","TSL0T8","1","","42",""
"In1","233-72-4776","BDFHJV","1","","48",""
"In1","233-72-4776","I1DWDN","2","","40",""
"In1","236-47-8571","1H45CH","1","","56",""
"In1","236-47-8571","W9MXAG","1","","59",""
"In1","237-31-2526","LH99DP","1","","83",""
"In1","237-31-2526","X8CALG","2","","41",""
"In1","241-59-8516","DZE6T2","1","","79",""
"In1","242-73-3251","GBYN79","1","","50",""
"In1","242-73-3251","Q1MXXV","1","","60",""
"In1","242-82-1421","03LRBK","1","","88",""
"In1","243-80-7866","VDVJ9U","2","","87",""
"In1","246-83-5850","8XS43C","1","","70",""
"In1","246-83-5850","Y7FB46","3","","78",""
"In1","246-97-9019","48G5AY","1","","83",""
"In1","246-97-9019","GBDGMA","1","","83",""
"In1","247-22-3690","JNHGLL","1","","85",""
"In1","247-22-3690","QJPGHE","1","","52",""
"In1","248-22-6337","OKMQXB","1","","79",""
"In1","249-95-1811","XH8HI7","1","","50",""
"In1","250-72-8288","5NPONL","2","","90",""
"In1","250-72-8288","S6OSUT","2","","52",""
"In1","251-85-4426","KNDH6M","1","","61",""
"In1","253-95-5658","WZTVYL","2","","70",""
"In1","254-94-0967","PJX5FB","1","","88",""
"In1","255-63-1445","05XKTJ","1","","59",""
"In1","255-63-1445","5PDMPG","1","","43",""
"In1","256-14-5705","FXBJS9","2","","51",""
"In1","256-14-5705","GBDGMA","1","","57",""
"In1","256-53-8551","54AQW","2","","44",""
"In1","257-22-6999","1LVG5K","1","","64",""
"In1","257-22-6999","PM2W8B","1","","45",""
"In1","257-47-7024","WLURTE","1","","86",""
"In1","257-80-9423","H1QH41","2","","60",""
"In1","257-90-0902","G6U09R","1","","75",""
"In1","257-90-0902","UA0DGP","1","","99",""
"In1","258-54-7616","A5RG6L","1","","69",""
"In1","258-54-7616","OLZS0P","1","","42",""
"In1","258-69-5846","FX8C3I","1","","64",""
"In1","258-69-5846","O67Y5","1","","63",""
"In1","259-12-4427","LUHIU4","1","","69",""
"In1","259-12-4427","SFTTH6","1","","47",""
"In1","259-90-8379","NUCGRO","1","","54",""
"In1","259-90-8379","YEHQOK","2","","94",""
"In1","259-91-3092","0WYNNG","1","","67",""
"In1","259-94-0516","FWWBLG","1","","74",""
"In1","264-17-1802","ITXC28","1","","70",""
"In1","264-17-1802","M15H4N","2","","62",""
"In1","264-80-9268","XMEATA","2","","96",""
"In1","266-68-7720","BZDAFX","1","","44",""
"In1","266-68-7720","H602VX","1","","47",""
"In1","266-69-1297","DS3V56","1","","41",""
"In1","267-61-4436","N0AORK","2","","67",""
"In1","267-61-4436","RL3B5H","2","","95",""
"In1","268-81-1943","GF4XYS","1","","42",""
"In1","268-81-1943","L2MYLH","1","","87",""
"In1","269-03-7790","HLQMYW","2","","94",""
"In1","269-03-7790","TO1FSQ","1","","62",""
"In1","272-03-7018","Z6NRMF","2","","93",""
"In1","272-54-1733","67HN9F","2","","91",""
"In1","272-54-1733","G647IM","2","","81",""
"In1","272-82-7008","ACELU2","1","","44",""
"In1","274-70-0742","S4F1QX","1","","86",""
"In1","274-70-0742","YGQ86H","2","","85",""
"In1","277-04-3871","NEXSGP","1","","84",""
"In1","277-48-1594","DYJ9AY","1","","91",""
"In1","279-10-1040","TMJJ5S","1","","53",""
"In1","280-68-3619","HMC6CO","1","","53",""
"In1","280-68-3619","V8ATMW","2","","84",""
"In1","281-78-9270","6YGP1V","1","","71",""
"In1","281-78-9270","Q1NP0H","1","","46",""
"In1","282-46-7867","7D2BEC","1","","54",""
"In1","290-25-5664","K58CCE","1","","82",""
"In1","290-35-6050","HHXVRU","2","","81",""
"In1","291-53-8444","59A5A6","1","","64",""
"In1","291-53-8444","BK9IBY","1","","72",""
"In1","292-72-9941","9Z08TA","2","","70",""
"In1","293-38-9029","IP7TG4","1","","97",""
"In1","299-70-3506","O8N7A0","1","","88",""
"In1","299-70-3506","ZNO6PC","1","","88",""
"In1","299-96-9298","4Z9COY","2","","67",""
"In1","299-96-9298","M5QUCH","2","","88",""
"In1","302-03-9834","78RDTC","1","","53",""
"In1","302-03-9834","P98GBF","1","","87",""
"In1","302-78-1184","IGJ4D0","1","","53",""
"In1","302-78-1184","VUG6Z2","2","","72",""
"In1","302-79-6583","H8GIE","2","","85",""
"In1","302-79-6583","MODP74","2","","70",""
"In1","303-56-4235","XI2VQH","1","","63",""
"In1","306-87-6081","JDJCPQ","1","","77",""
"In1","306-87-6081","S6OSUT","2","","82",""
"In1","308-35-6312","QCXWXH","2","","70",""
"In1","308-35-6312","U1V58R","2","","90",""
"In1","309-08-3772","MZ7B0M","1","","62",""
"In1","310-30-7005","ADC1XR","2","","73",""
"In1","312-12-6958","1SC9E8","3","","45",""
"In1","312-12-6958","UN8PAQ","1","","42",""
"In1","312-23-3894","MOXZ24","1","","57",""
"In1","312-23-3894","Z8JWEC","1","","80",""
"In1","312-45-3777","UQ23B5","1","","76",""
"In1","320-87-8715","KXOWD7","1","","53",""
"In1","322-65-3060","74ZTD2","1","","90",""
"In1","323-10-8910","4Z9COY","2","","43",""
"In1","323-10-8910","THY2BC","1","","88",""
"In1","324-12-6852","O472ZQ","2","","92",""
"In1","324-47-9101","B2D47L","1","","51",""
"In1","324-47-9101","PRWU2U","2","","63",""
"In1","324-93-4925","EQIB1H","1","","47",""
"In1","324-93-4925","T6QASM","1","","68",""
"In1","325-95-1151","3196I","1","","68",""
"In1","325-95-1151","TLO2X1","1","","75",""
"In1","328-00-0971","IVJK4L","1","","52",""
"In1","330-88-0909","UGNFV7","1","","64",""
"In1","332-57-5201","BPKAKP","2","","98",""
"In1","335-01-5766","HHM9PM","2","","98",""
"In1","335-01-5766","VNQW6I","1","","43",""
"In1","335-54-5056","Q5XW80","2","","68",""
"In1","337-00-9598","M15H4N","2","","92",""
"In1","337-00-9598","T14RP1","1","","54",""
"In1","338-86-4730","90PXSU","1","","43",""
"In1","338-86-4730","JI5DSK","1","","74",""
"In1","339-34-4928","MJUM86","2","","49",""
"In1","339-34-4928","ZNO6PC","1","","58",""
"In1","339-51-0145","1OYUPM","1","","41",""
"In1","339-51-0145","OUR77","1","","94",""
"In1","339-87-1906","59BGLD","1","","58",""
"In1","339-87-1906","6FMT9N","1","","44",""
"In1","342-59-6046","EJ5P24","1","","97",""
"In1","343-59-4886","D89PI7","1","","45",""
"In1","343-59-4886","HXERPQ","1","","43",""
"In1","344-11-1418","963IB4","1","","68",""
"In1","344-11-1418","9I3ET8","2","","48",""
"In1","345-14-2792","TPOV1J","2","","77",""
"In1","345-14-2792","ZGV8MD","2","","97",""
"In1","346-59-1230","1NRKTT","1","","58",""
"In1","346-59-1230","JYC15U","1","","94",""
"In1","349-35-8784","EMHR6I","1","","74",""
"In1","351-69-4362","Z9KFZ3","1","","44",""
"In1","353-13-2026","RZ46MF","1","","57",""
"In1","353-13-2026","Z9HNZZ","1","","81",""
"In1","355-96-5508","2E4MQG","1","","97",""
"In1","355-96-5508","ZOD9A8","1","","44",""
"In1","356-57-2043","LQHEZY","1","","92",""
"In1","359-22-7209","GQ3FOZ","2","","74",""
"In1","359-22-7209","POPJVU","2","","79",""
"In1","359-30-0433","AIX2MT","1","","70",""
"In1","359-30-0433","G0J551","1","","50",""
"In1","361-04-1334","HB3ZSA","1","","64",""
"In1","361-04-1334","PV83SK","1","","75",""
"In1","361-44-3760","KAX841","1","","69",""
"In1","362-65-0044","PKDDCB","2","","64",""
"In1","363-41-4980","AAXW8O","1","","77",""
"In1","363-41-4980","D91DYY","2","","71",""
"In1","365-20-7228","J0X518","1","","67",""
"In1","365-20-7228","V0H1J1","3","","73",""
"In1","366-41-4615","JTO7OX","2","","64",""
"In1","367-51-3168","QXJ4T5","2","","60",""
"In1","371-20-1172","HMC6CO","1","","80",""
"In1","371-20-1172","OLZS0P","1","","53",""
"In1","371-89-3630","GLXZGL","2","","91",""
"In1","371-89-3630","WDBJ3O","1","","55",""
"In1","372-82-6731","J93CWO","1","","81",""
"In1","372-82-6731","YZAILK","2","","73",""
"In1","373-89-4630","UL3JK8","2","","51",""
"In1","374-84-1913","73T4Q8","1","","69",""
"In1","375-46-1498","NX8150","1","","52",""
"In1","375-92-7576","H8GIE","2","","67",""
"In1","375-92-7576","WGPST6","1","","40",""
"In1","378-07-1954","JZLGPK","1","","59",""
"In1","378-31-1921","6YGP1V","1","","62",""
"In1","378-31-1921","B1QPO","1","","55",""
"In1","378-75-2839","SCVFCV","1","","86",""
"In1","379-05-8146","UZJ5TU","1","","47",""
"In1","379-56-8957","OWDNKY","1","","96",""
"In1","380-89-7607","9WAQ46","2","","82",""
"In1","380-89-7607","YW8FK0","1","","42",""
"In1","381-53-2551","19HEZI","2","","62",""
"In1","381-66-5968","T6THGW","2","","92",""
"In1","382-53-8882","39R269","1","","47",""
"In1","383-32-0775","59A5A6","1","","90",""
"In1","383-32-0775","SKK151","1","","94",""
"In1","383-49-8715","RKWXKH","2","","87",""
"In1","383-56-4599","483Y9J","2","","93",""
"In1","383-56-4599","GVKSWC","1","","99",""
"In1","383-66-7689","4G1APE","1","","55",""
"In1","383-66-7689","BDFHJV","1","","96",""
"In1","384-28-0422","1HOSBZ","1","","61",""
