"Type","au_id_k","au_lname_s","au_lname_t","au_fname_s","au_fname_t","phone_s","phone_t","address_s","address_t","city_s","city_t","state_s","state_t","zip_s","zip_t","contract_s","contract_t"
"In1","020-83-4369","Winters","","Dewayne","","308365-2772","","72 Rocky Cowley Freeway","","Little Rock","","KY","","70439","","False",""
"In1","020-96-1904","Esparza","","Alyssa","","359-244-3837","","31 Old Drive","","Tulsa","","CT","","81873","","True",""
"In1","021-76-9037","Santos","","Roderick","","7189242138","","78 Oak Road","","Seattle","","WI","","47134","","True",""
"In1","022-01-3621","Watts","","Albert","","299894-3233","","55 Cowley Freeway","","San Antonio","","NV","","35212","","False",""
"In1","022-25-8469","Meadows","","Sherman","","419358-1121","","669 Rocky Milton Road","","Oklahoma","","KS","","83077","","True",""
"In1","023-09-7693","Pollard","","Alicia","","331-767-7368","","785 Rocky Fabien Parkway","","Mobile","","MO","","73603","","False",""
"In1","023-10-3472","Kirk","","Belinda","","742-7557286","","540 North New Drive","","Fremont","","IA","","73218","","False",""
"In1","026-52-7231","Cabrera","","Monica","","421314-4742","","732 White Cowley Way","","Fresno","","UT","","67756","","False",""
"In1","027-48-0104","Beasley","","Moses","","421-214-8259","","81 North Old Street","","Akron","","NM","","43429","","False",""
"In1","028-74-6874","Robertson","","Sheila","","109-2454332","","44 South Second Boulevard","","Las Vegas","","TX","","22814","","False",""
"In1","029-45-9479","Middleton","","Salvatore","","3830075612","","267 North Cowley Street","","Norfolk","","IL","","85657","","False",""
"In1","029-81-7687","Stephenson","","Karin","","301-4991119","","68 South White New Boulevard","","Cincinnati","","OR","","57944","","False",""
"In1","029-87-5316","Hopkins","","Saul","","451-039-2434","","869 Rocky Fabien Way","","Tacoma","","MI","","40032","","False",""
"In1","030-41-4203","Chaney","","Donald","","979-1199201","","575 Hague Boulevard","","Aurora","","WI","","93044","","False",""
"In1","031-34-7655","Short","","Myron","","090-8259508","","552 Green Nobel Avenue","","Seattle","","MT","","13309","","False",""
"In1","033-56-3107","Berg","","Mary","","5372765328","","448 Green First Boulevard","","Greensboro","","MO","","22593","","False",""
"In1","033-96-2990","Glenn","","Glenn","","732938-5961","","13 East Rocky Second Boulevard","","Birmingham","","HI","","10171","","False",""
"In1","034-36-0342","Pugh","","Misty","","4611446712","","627 White Nobel Blvd.","","Fort Wayne","","NJ","","98343","","True",""
"In1","035-23-3645","Graves","","Jon","","066-191-9294","","63 West Milton Blvd.","","Philadelphia","","CA","","30559","","False",""
"In1","036-26-0337","O'Neill","","Marvin","","102-101-8927","","33 Cowley Boulevard","","St. Paul","","AR","","57125","","False",""
"In1","036-28-0629","Estes","","Jacquelyn","","467-875-0374","","688 Green Hague Freeway","","Akron","","MS","","98173","","True",""
"In1","037-09-5187","Miranda","","Dorothy","","918-884-6720","","207 First Street","","San Diego","","MT","","76658","","False",""
"In1","037-24-1427","Cherry","","Antonio","","953-665-1566","","35 Oak Blvd.","","Garland","","NV","","11978","","False",""
"In1","037-88-2320","Hatfield","","Eddie","","1941290657","","63 Fabien Blvd.","","St. Petersburg","","MI","","85712","","False",""
"In1","037-97-4014","Serrano","","Blake","","446-6291235","","33 Green New Road","","El Paso","","PA","","29646","","False",""
"In1","039-06-7617","Fields","","Caroline","","722-593-3123","","25 Clarendon Boulevard","","Seattle","","IA","","14391","","True",""
"In1","039-87-6621","Huber","","Traci","","1514460412","","996 Oak Avenue","","Austin","","VA","","11203","","False",""
"In1","040-68-4281","York","","Katina","","484-4942403","","317 West Oak Freeway","","Columbus","","HI","","32241","","True",""
"In1","040-86-2217","Lester","","Annie","","702-101-8342","","442 West Green Hague St.","","El Paso","","VT","","12808","","False",""
"In1","040-95-9930","Strickland","","Norman","","381-9172321","","745 North Clarendon Freeway","","Mesa","","CT","","03213","","False",""
"In1","041-76-1076","Reynolds","","Shanna","","350-832-1031","","54 Fabien Drive","","San Jose","","PA","","23243","","False",""
"In1","041-91-5307","Mc Dowell","","Vernon","","866-173-7726","","695 Second Blvd.","","Cincinnati","","TN","","69706","","True",""
"In1","043-55-4829","Jarvis","","Kathryn","","318-746-1561","","76 Clarendon Parkway","","Bakersfield","","KY","","30822","","True",""
"In1","044-57-2845","Crane","","Gabrielle","","926-656-5030","","99 South Rocky Clarendon Avenue","","Cincinnati","","AL","","90497","","False",""
"In1","050-95-0398","Parsons","","Roderick","","982891-3328","","606 Rocky Old Parkway","","Columbus","","HI","","78404","","False",""
"In1","051-10-2975","Blair","","Tamara","","042710-5637","","69 Rocky Clarendon Drive","","Long Beach","","AL","","90375","","True",""
"In1","051-49-4978","Hess","","Lonnie","","4133893664","","83 South New Way","","Oklahoma","","CT","","84202","","False",""
"In1","051-52-5206","Rice","","Irma","","494641-8042","","755 Green Clarendon St.","","San Jose","","IL","","28463","","True",""
"In1","052-67-0257","Chavez","","Wanda","","249-440-3671","","51 South White Nobel Boulevard","","Greensboro","","MN","","81848","","True",""
"In1","052-84-7851","Scott","","Telly","","4508279534","","829 White Old Street","","Arlington","","LA","","41094","","False",""
"In1","053-09-5725","Ward","","Kristian","","849-6238112","","605 Rocky Nobel Freeway","","Memphis","","OR","","01545","","True",""
"In1","053-11-7028","Willis","","Jeanette","","002568-0847","","48 Oak Freeway","","Tucson","","MD","","49440","","True",""
"In1","054-14-2608","Villegas","","Kurt","","914-8060617","","26 Nobel Blvd.","","Philadelphia","","IN","","25710","","False",""
"In1","054-86-5613","House","","Rick","","355420-9729","","26 Old Freeway","","Hialeah","","SD","","32289","","True",""
"In1","055-12-1033","Medina","","Salvatore","","459-1030348","","78 White First Drive","","Greensboro","","CA","","43104","","False",""
"In1","055-19-3679","Glass","","Shanna","","140436-7130","","983 South Nobel Street","","Louisville","","DE","","74167","","True",""
"In1","055-39-8562","Brennan","","Karrie","","362698-2391","","59 Cowley Street","","Glendale","","LA","","04216","","True",""
"In1","056-58-7895","Swanson","","Eduardo","","855-379-6236","","887 Clarendon St.","","Birmingham","","KY","","43718","","False",""
"In1","057-36-0238","Potts","","Jason","","1983892002","","147 Second Drive","","St. Petersburg","","SD","","50195","","True",""
"In1","057-75-0148","Carney","","Hugh","","5296813752","","63 White Fabien Way","","Tampa","","CT","","93457","","True",""
"In1","058-96-7586","Lewis","","Kevin","","8962301051","","34 Milton St.","","Sacramento","","OR","","17355","","True",""
"In1","059-14-0926","Roy","","Lee","","8647308296","","451 First Blvd.","","Arlington","","UT","","02124","","True",""
"In1","060-59-6522","Monroe","","John","","915-443-6086","","370 East Green Nobel Road","","Spokane","","SD","","99885","","False",""
"In1","060-95-3315","Ford","","Ronda","","977967-6518","","20 West Green Hague Avenue","","Charlotte","","ID","","81905","","False",""
"In1","061-28-5937","Espinoza","","Sally","","0566012593","","37 Second Boulevard","","Atlanta","","MN","","15119","","True",""
"In1","061-30-8383","Yang","","Brooke","","989-3690194","","829 New St.","","Raleigh","","TX","","82374","","False",""
"In1","061-91-4608","Powell","","Raymond","","301-893-1851","","675 Old Way","","Louisville","","OK","","12879","","True",""
"In1","062-47-3784","Morrison","","Jonathan","","071940-1135","","67 Nobel Way","","Jacksonville","","OH","","40581","","False",""
"In1","063-30-2620","Williams","","Mindy","","432-0691570","","50 East Green Clarendon St.","","Albuquerque","","TX","","19806","","True",""
"In1","063-65-8388","Hayes","","Serena","","499-916-0351","","892 Nobel Blvd.","","New Orleans","","SD","","28642","","True",""
"In1","064-41-7606","Maldonado","","Kendra","","6130932664","","144 Oak St.","","Montgomery","","RI","","03613","","False",""
"In1","064-83-7055","King","","Grace","","159754-3300","","32 First Blvd.","","Nashville","","IL","","13002","","True",""
"In1","066-18-3003","Liu","","Cherie","","4206827374","","23 Hague Parkway","","Jacksonville","","RI","","64228","","False",""
"In1","067-39-6735","Duffy","","Tami","","750-725-9131","","72 Cowley Freeway","","Columbus","","WY","","78511","","False",""
"In1","070-40-4200","Duke","","Albert","","933402-7977","","661 Hague St.","","Fresno","","ID","","27661","","True",""
"In1","073-66-1005","Warren","","Jonathon","","040-8033728","","33 New Way","","Jackson","","MO","","42178","","True",""
"In1","074-70-9236","Castaneda","","Olga","","5102295874","","746 Green Clarendon Drive","","Yonkers","","TN","","69981","","False",""
"In1","076-81-1053","Yates","","Emily","","643718-0574","","35 Milton Street","","Hialeah","","GA","","42478","","True",""
"In1","076-97-2258","Finley","","Kristina","","581857-2245","","938 Fabien Way","","Riverside","","MS","","31007","","False",""
"In1","077-85-8188","Day","","Charity","","543063-8721","","326 North Milton St.","","Sacramento","","MS","","03948","","False",""
"In1","080-66-5741","Bauer","","Rebecca","","2058192959","","30 Nobel Street","","New Orleans","","KY","","04091","","False",""
"In1","085-02-1051","Hansen","","Forrest","","742439-7964","","231 Green Second Way","","Toledo","","NE","","93417","","True",""
"In1","088-50-6761","Wagner","","Julio","","471-229-4889","","68 South White First Way","","Cleveland","","NJ","","43313","","True",""
"In1","088-55-7091","Cook","","Donovan","","168-4844027","","349 White New Road","","Madison","","RI","","66367","","True",""
"In1","090-41-6224","Sellers","","Kris","","902-0957537","","582 Milton Way","","Baton Rouge","","ME","","48980","","False",""
"In1","090-51-2933","Nunez","","Marcos","","721-1990197","","251 North New Drive","","Grand Rapids","","MT","","<NULL>","","False",""
"In1","090-94-5024","Johns","","Alison","","4545814144","","74 West White Fabien Way","","Riverside","","NE","","60621","","True",""
"In1","091-75-9203","Lane","","Andrea","","9670212276","","11 Old Parkway","","Richmond","","WY","","35061","","False",""
"In1","091-93-0436","Ball","","Darren","","3940754358","","851 Green Nobel Avenue","","Long Beach","","IL","","42965","","True",""
"In1","092-19-4231","Lang","","Lorenzo","","374-6886762","","959 Green Oak Road","","Lincoln","","MI","","41366","","True",""
"In1","092-50-1798","Charles","","Myra","","116-117-6843","","708 East Clarendon Parkway","","Miami","","LA","","59888","","True",""
"In1","094-54-8249","Villegas","","Tonia","","439-3953417","","29 Green Nobel Boulevard","","Santa Ana","","OK","","15379","","True",""
"In1","097-03-4921","Baker","","Dustin","","676-2029189","","364 East Green Nobel Avenue","","Jersey","","AL","","15481","","True",""
"In1","097-18-1239","Perry","","Clinton","","3691402249","","387 First Blvd.","","Raleigh","","OR","","56591","","False",""
"In1","098-77-8150","Fox","","Rick","","940849-4159","","598 North Cowley Parkway","","Norfolk","","CO","","39610","","False",""
"In1","099-05-2547","Middleton","","Stacy","","4397507604","","25 Rocky First Way","","Mobile","","OH","","84927","","False",""
"In1","100-31-2490","Griffith","","Elisabeth","","0501514643","","24 Rocky Old Freeway","","St. Paul","","WI","","52144","","False",""
"In1","101-67-4013","Lynn","","John","","5520572365","","64 Green Hague Drive","","Birmingham","","MS","","30252","","True",""
"In1","105-02-0420","Strong","","Erin","","389-9465909","","415 Oak Way","","Little Rock","","NH","","49763","","False",""
"In1","105-82-0017","Sutton","","Eric","","497431-7163","","78 White Milton Parkway","","Oklahoma","","AZ","","63694","","False",""
"In1","105-99-1378","Liu","","Teri","","848-711-7095","","644 North Old Street","","Stockton","","NC","","72995","","False",""
"In1","106-02-3609","Spears","","Renee","","998646-4551","","491 First Way","","Fort Wayne","","WV","","58940","","False",""
"In1","106-06-3072","Lester","","Ana","","698597-4730","","544 New Way","","St. Paul","","MA","","50061","","True",""
"In1","107-19-5304","Robertson","","Frankie","","862-4102203","","73 Fabien Road","","Tampa","","TX","","50922","","False",""
"In1","107-78-1658","Bonilla","","Lashonda","","3074619176","","805 Oak St.","","Oakland","","AK","","03677","","False",""
"In1","107-94-4544","Cochran","","Luke","","6468107519","","67 South Rocky Hague Freeway","","Lubbock","","WY","","01842","","False",""
"In1","108-40-3049","Walls","","Denise","","5268854823","","10 Hague Blvd.","","Charlotte","","NY","","38161","","False",""
"In1","108-87-5163","Cannon","","Jonathan","","2535878403","","730 Fabien Drive","","Mesa","","CA","","29485","","True",""
"In1","109-81-4461","Zimmerman","","Frankie","","020-5935893","","727 North Milton Freeway","","St. Petersburg","","MS","","89839","","True",""
"In1","109-92-4754","Knox","","Herman","","100-429-9198","","90 North Oak Parkway","","Las Vegas","","CA","","59596","","True",""
"In1","110-08-7189","Strickland","","Christian","","800-458-6274","","11 Nobel Drive","","Garland","","LA","","93267","","True",""
"In1","111-76-3094","Walter","","Dianna","","5408369014","","67 East Green Old Freeway","","Richmond","","AR","","93443","","False",""
"In1","111-98-0416","Sheppard","","Marlene","","503-709-6180","","433 South New Avenue","","St. Petersburg","","AL","","84028","","False",""
"In1","113-95-9612","Ruiz","","Jean","","2621852254","","416 First Boulevard","","Oklahoma","","CA","","45734","","False",""
"In1","118-71-3596","Jacobson","","Marilyn","","163-1236962","","821 Oak Drive","","Norfolk","","AR","","50602","","False",""
"In1","120-33-8347","Chavez","","Maggie","","171888-7861","","864 East Cowley Avenue","","Austin","","GA","","86996","","False",""
"In1","120-89-2676","Barron","","Leroy","","718927-7454","","96 Nobel Drive","","Aurora","","AR","","18607","","False",""
"In1","123-78-3697","Fitzgerald","","Jerry","","058-666-6411","","757 Milton Street","","Glendale","","CO","","55129","","True",""
"In1","125-33-4212","Mitchell","","Alicia","","8439186511","","79 West New Road","","Miami","","MT","","38341","","False",""
"In1","125-58-7061","Weiss","","Hilary","","524-291-4827","","49 Rocky Fabien Street","","Oakland","","TX","","68029","","True",""
"In1","126-54-5139","Mays","","Abel","","478-009-6375","","891 Milton Boulevard","","Detroit","","GA","","47570","","False",""
"In1","126-62-4225","Ruiz","","Melody","","4568751801","","574 White New Avenue","","Richmond","","DE","","49847","","False",""
"In1","126-64-2516","Obrien","","Shelly","","155-8003219","","640 Rocky Fabien Street","","San Francisco","","CT","","46067","","True",""
"In1","128-49-2557","George","","Calvin","","035922-0923","","45 Rocky Hague Avenue","","Miami","","ID","","23487","","False",""
"In1","128-73-2319","Higgins","","Everett","","058-665-6614","","27 West Second Way","","Yonkers","","CA","","76611","","True",""
"In1","128-74-3735","Park","","Billy","","046049-9605","","51 White Cowley Road","","Oakland","","MD","","55901","","True",""
"In1","131-25-9721","Pope","","Rosa","","104-650-5898","","75 North White Old Blvd.","","San Francisco","","NE","","74425","","False",""
"In1","131-43-1376","House","","Shane","","734-557-9571","","190 South Green First Parkway","","St. Paul","","MI","","11015","","False",""
"In1","133-56-8059","Cross","","Rodney","","9551648059","","97 Second Street","","Kansas","","CA","","36553","","False",""
"In1","134-81-5976","Farley","","Hope","","818120-9489","","98 South First Drive","","Minneapolis","","NE","","79638","","True",""
"In1","135-09-3634","Knox","","Salvatore","","6982714859","","75 Clarendon St.","","Philadelphia","","VT","","96898","","False",""
"In1","135-32-8722","Cochran","","Michele","","167-1135942","","449 East First Boulevard","","New Orleans","","MS","","10402","","True",""
"In1","137-27-9046","Cordova","","Maribel","","411-5791277","","419 West Rocky Clarendon Parkway","","New Orleans","","UT","","65930","","True",""
"In1","138-23-3973","Glenn","","Leah","","767-495-5250","","125 South Clarendon Street","","Tampa","","ID","","83756","","False",""
"In1","139-31-8547","Mueller","","Diane","","858204-2764","","70 East Green Cowley St.","","Newark","","NV","","76916","","False",""
"In1","141-37-0213","Koch","","Jonathon","","9481541560","","958 South Rocky First Way","","Seattle","","NJ","","46657","","True",""
"In1","142-54-6738","Estes","","Danielle","","4608729227","","11 Milton Boulevard","","Montgomery","","MA","","15820","","False",""
"In1","142-84-6524","Flowers","","Diane","","2084928843","","551 North Milton Parkway","","Lubbock","","IA","","27734","","False",""
"In1","143-73-3311","Mathis","","Dena","","397-782-0693","","265 South Rocky Old St.","","Hialeah","","IN","","26585","","True",""
"In1","144-93-0647","Schaefer","","Paula","","013-9780365","","542 Rocky Cowley Street","","Milwaukee","","<NULL>","","13757","","False",""
"In1","145-70-1504","Singleton","","Rene","","569998-1240","","585 New Drive","","Atlanta","","CT","","95453","","True",""
"In1","146-40-7056","Anthony","","Alice","","065-663-2954","","50 First Boulevard","","Grand Rapids","","IN","","04253","","False",""
"In1","148-13-6665","Pham","","Kristen","","095-792-9568","","47 First Boulevard","","Anchorage","","KS","","50171","","False",""
"In1","148-42-8211","Roberson","","Freddie","","911-161-0029","","42 Green First Road","","Mobile","","HI","","35609","","False",""
"In1","148-97-2623","Tapia","","Terrence","","3186073924","","66 North White Cowley Drive","","Anaheim","","OR","","41544","","False",""
"In1","149-09-3348","Thomas","","Bruce","","600-790-9093","","69 Clarendon Avenue","","Jackson","","HI","","11575","","True",""
"In1","149-32-6606","Hoover","","Alfonso","","135-0194215","","48 Green Clarendon Boulevard","","Hialeah","","NC","","41592","","False",""
"In1","152-57-2614","Proctor","","Elisabeth","","615711-6220","","97 South Green Clarendon St.","","Chicago","","WV","","55027","","False",""
"In1","154-76-5358","Jacobson","","Shelby","","218-4925465","","34 First Road","","Bakersfield","","CT","","57337","","False",""
"In1","156-88-3680","Little","","Jacquelyn","","300-549-1488","","64 Old Road","","Cincinnati","","FL","","80002","","True",""
"In1","159-06-6204","Richard","","Jasmine","","751-071-1214","","53 West Rocky Hague Blvd.","","Spokane","","NH","","59102","","True",""
"In1","161-04-7073","Randolph","","Monica","","5548701763","","983 Green Old Freeway","","San Jose","","IL","","70619","","True",""
"In1","162-01-1013","Petty","","Ricky","","1651545329","","16 Clarendon Street","","Des Moines","","MA","","78227","","False",""
"In1","162-30-7785","Robertson","","Leroy","","885-151-6773","","57 Second Freeway","","Mesa","","NC","","79933","","False",""
"In1","162-51-0027","Whitaker","","Vicki","","6767062412","","27 White Clarendon Parkway","","Cleveland","","FL","","84533","","False",""
"In1","162-70-3230","Nicholson","","Christine","","000-632-2167","","571 East Cowley Parkway","","Fort Worth","","WI","","30435","","False",""
"In1","162-99-7748","Cobb","","Ruby","","999-624-7028","","695 White Fabien Parkway","","Stockton","","LA","","41003","","True",""
"In1","166-66-3606","Mccoy","","Jordan","","7070838829","","20 First St.","","Phoenix","","TN","","88069","","False",""
"In1","167-33-7724","Bentley","","Lorenzo","","875-903-0780","","173 Green Nobel Boulevard","","Tucson","","UT","","66055","","True",""
"In1","168-36-7274","Velasquez","","Kelli","","462-6092456","","44 Milton Freeway","","Hialeah","","TN","","74931","","True",""
"In1","169-09-6540","Stanton","","Randall","","223420-1861","","287 Rocky Fabien St.","","Montgomery","","VA","","30929","","True",""
"In1","170-05-1129","Bruce","","Drew","","119-4150316","","221 Green Fabien Avenue","","Arlington","","OK","","47184","","True",""
"In1","170-24-1331","Townsend","","Audrey","","248-5128537","","79 White New Way","","Madison","","NH","","40040","","True",""
"In1","170-57-8970","Stevens","","Arthur","","124-9456594","","886 First Way","","Jackson","","IL","","75166","","False",""
"In1","172-21-3003","Lang","","Jason","","182-1002439","","96 South White First St.","","Las Vegas","","TX","","93976","","True",""
"In1","172-25-2336","Gardner","","Jamey","","739373-8226","","830 East White New Freeway","","Albuquerque","","NY","","71212","","True",""
"In1","174-18-0914","Rivera","","Jolene","","988-248-2738","","68 New St.","","Jackson","","NE","","71758","","False",""
"In1","175-00-6302","Morrison","","Jeanine","","151-5592615","","397 White First Parkway","","Des Moines","","GA","","99438","","False",""
"In1","177-64-8069","Blanchard","","Jesse","","8008613079","","66 First Road","","El Paso","","NJ","","53791","","True",""
"In1","179-61-0200","Fletcher","","Clay","","185-6555725","","53 West Nobel Blvd.","","Arlington","","TN","","50718","","True",""
"In1","180-47-3854","Clay","","Misti","","460290-4674","","317 First St.","","Norfolk","","FL","","13922","","True",""
"In1","181-72-2096","Vasquez","","Josephine","","350-887-0879","","123 Nobel Road","","Rochester","","NY","","39560","","True",""
"In1","181-79-4047","Logan","","James","","2154097320","","45 New Road","","Oakland","","CO","","80875","","True",""
"In1","184-68-3225","De Leon","","Latasha","","7396007645","","76 Green Oak Road","","<NULL>","","AZ","","62778","","True",""
"In1","184-79-5865","Kennedy","","Derick","","805-0866013","","118 Old Parkway","","Raleigh","","ND","","97987","","True",""
"In1","187-43-1959","Dunlap","","Perry","","189-5055151","","24 Fabien St.","","Baton Rouge","","NM","","36178","","False",""
"In1","189-82-4950","House","","Mark","","6821380415","","925 Rocky New Parkway","","Philadelphia","","MA","","56352","","True",""
"In1","189-98-5484","Chen","","Arthur","","783124-5582","","237 Nobel Drive","","El Paso","","AL","","47501","","True",""
"In1","190-89-9725","Best","","Jane","","218359-3937","","588 Green Clarendon Boulevard","","Fremont","","OR","","61291","","False",""
"In1","191-67-7426","Mills","","Helen","","4132573394","","669 Green Milton Blvd.","","Charlotte","","RI","","24011","","False",""
"In1","192-39-8844","Robbins","","Julian","","0405795051","","25 First St.","","Honolulu","","KY","","08021","","False",""
"In1","192-86-8474","Farmer","","Marcella","","786-138-6114","","505 West White Fabien St.","","Columbus","","IA","","88477","","False",""
"In1","192-96-1750","Atkinson","","Helen","","859-8891964","","532 South Rocky New Avenue","","Detroit","","MO","","86163","","False",""
"In1","193-30-9166","Espinoza","","Casey","","212-271-3306","","93 West Rocky Old Street","","Seattle","","CA","","41155","","True",""
"In1","195-12-2276","Ferguson","","Noah","","897426-5737","","23 Old Way","","Mobile","","UT","","71202","","True",""
"In1","195-70-5385","Figueroa","","Kareem","","377086-7815","","43 White First Road","","Louisville","","IA","","15549","","True",""
"In1","196-10-0005","Gutierrez","","Amy","","0577516636","","798 East Cowley Way","","Charlotte","","WI","","69946","","True",""
"In1","196-63-0399","Friedman","","Gina","","749-0959872","","58 Green First Blvd.","","Tucson","","TN","","20995","","False",""
"In1","196-72-8410","Kirk","","Darrin","","609-9656716","","727 North White Second Street","","<NULL>","","MO","","52945","","False",""
"In1","199-77-6436","Schroeder","","Salvatore","","089-8795388","","29 Clarendon Way","","Minneapolis","","AZ","","52703","","True",""
"In1","199-80-4413","Yates","","Chasity","","840-935-7759","","504 Clarendon Road","","Yonkers","","HI","","76774","","False",""
"In1","199-89-7236","Rios","","Abigail","","399015-0452","","270 South White Old St.","","<NULL>","","TN","","34059","","False",""
"In1","200-79-4022","Bean","","Harvey","","558-796-7121","","32 Cowley Parkway","","St. Petersburg","","MS","","96702","","True",""
"In1","201-06-0843","Odom","","Arturo","","100690-3224","","18 White Nobel Way","","San Jose","","LA","","93679","","True",""
"In1","201-28-7512","Buckley","","Vanessa","","935140-8764","","149 First Freeway","","Tucson","","ND","","31055","","False",""
"In1","202-16-8169","Higgins","","Amanda","","349693-1174","","460 Nobel St.","","Philadelphia","","TX","","46515","","False",""
"In1","204-05-8509","Rosario","","Darryl","","017653-4484","","994 Green Nobel Road","","Montgomery","","CT","","15742","","False",""
"In1","205-29-2040","Rivera","","Chester","","372-182-7457","","949 Nobel St.","","Hialeah","","WI","","18483","","False",""
"In1","207-64-2087","Reid","","Leon","","6417917134","","602 First Blvd.","","<NULL>","","KS","","77513","","True",""
"In1","207-78-0305","Travis","","Chad","","633-9278550","","47 Rocky Milton Drive","","Colorado","","PA","","76258","","True",""
"In1","207-89-8898","Liu","","Jeremy","","569370-9367","","29 First Street","","Yonkers","","VA","","90683","","True",""
"In1","209-69-4384","Yoder","","Rogelio","","2393647103","","250 Rocky Old St.","","Sacramento","","WV","","79392","","True",""
"In1","210-67-6548","Lambert","","Heath","","769-088-9755","","881 Fabien St.","","Philadelphia","","MA","","73221","","True",""
"In1","210-93-9006","Reese","","Samuel","","532-1478929","","428 South Second Way","","Baltimore","","VT","","63703","","True",""
"In1","211-02-7976","Davidson","","Bryon","","333-397-6576","","22 Cowley Avenue","","Dallas","","VA","","09047","","True",""
"In1","212-45-2924","Guerra","","Tammi","","683-500-6405","","61 Green Old Freeway","","Hialeah","","IA","","05662","","False",""
"In1","212-95-4422","Sexton","","Ruth","","716-225-8956","","12 Rocky New Freeway","","Mobile","","PA","","96071","","False",""
"In1","214-33-4175","Massey","","Shanda","","674454-4636","","59 Rocky Milton Road","","St. Louis","","NH","","04483","","False",""
"In1","214-83-3733","Jensen","","Tamara","","5488830404","","566 South Second Parkway","","Shreveport","","AL","","95433","","False",""
"In1","215-05-6763","Walker","","Stephen","","8948966144","","26 Milton Blvd.","","Virginia Beach","","ME","","60832","","False",""
"In1","215-08-0738","Conrad","","Jenny","","437-9832152","","18 Cowley Drive","","Memphis","","OR","","36641","","False",""
"In1","215-57-6534","Mcclain","","Kelly","","002-189-6940","","532 Milton Freeway","","Baton Rouge","","KS","","88130","","False",""
"In1","217-27-5883","Ferrell","","Lisa","","1232540674","","986 West Old Street","","Bakersfield","","VA","","13046","","True",""
"In1","217-29-0815","Gutierrez","","Quincy","","954714-5545","","16 East Nobel Way","","Minneapolis","","MA","","50097","","True",""
"In1","218-12-6426","Ruiz","","Jose","","846-4969015","","26 South Second Parkway","","Stockton","","OK","","66007","","False",""
"In1","218-26-1676","Barnett","","Enrique","","065-5637144","","842 West Rocky First Way","","Colorado","","NJ","","76734","","False",""
