"Type","emp_id_k","fname_s","fname_t","minit_s","minit_t","lname_s","lname_t","job_id_s","job_id_t","job_lvl_s","job_lvl_t","pub_id_s","pub_id_t","hire_date_s","hire_date_t"
"In1","AOL26290M","Ray","","T","","Odom","","8","","125","","9999","","06/01/2009 08:44:43",""
"In1","AOO19516M","Gerardo",""," ","","Ramsey","","10","","87","","9901","","01/09/2010 21:05:36",""
"In1","AOV47757M","Bradford","","K","","Costa","","14","","89","","9901","","09/02/2018 23:55:35",""
"In1","A-P32603F","Charlotte",""," ","","Petersen","","9","","78","","1756","","23/02/2013 15:47:38",""
"In1","APC11891F","Jeffrey","","N","","Bond","","2","","215","","9952","","07/02/2000 08:36:48",""
"In1","APF82257F","Caroline",""," ","","Kaufman","","11","","150","","9901","","10/08/2004 10:00:36",""
"In1","APG83633F","Jocelyn","","G","","Mosley","","7","","195","","1389","","01/07/2013 15:40:00",""
"In1","APR36249F","Erica","","U","","Brock","","5","","150","","0877","","30/04/2005 22:23:51",""
"In1","APT52446M","Shanda",""," ","","Jacobson","","8","","125","","9999","","07/01/2009 21:06:06",""
"In1","APY69047F","Andre","","T","","Lam","","2","","215","","9901","","25/09/2007 11:58:05",""
"In1","AQA99032M","Ricardo",""," ","","Haas","","6","","152","","9901","","15/09/2017 10:35:16",""
"In1","AQG16159F","Noel","","U","","Pitts","","6","","192","","1389","","19/11/2014 01:47:22",""
"In1","AQJ34589F","Sandy","","B","","Spence","","5","","198","","9901","","23/02/2011 16:53:47",""
"In1","AQK74693M","Oscar",""," ","","Mc Guire","","9","","170","","9999","","12/04/2014 14:58:17",""
"In1","AQN14770F","Edwin",""," ","","Watts","","11","","112","","1622","","14/12/2016 23:33:16",""
"In1","AQQ99641F","Michele",""," ","","Zimmerman","","10","","87","","1756","","12/04/2013 11:07:18",""
"In1","AQV84212F","Wanda","","P","","Munoz","","7","","120","","1756","","16/07/2016 14:10:29",""
"In1","ARH18951F","Gordon",""," ","","Huerta","","6","","220","","9952","","08/03/2006 06:56:23",""
"In1","ARL19652F","Vivian","","Z","","Warren","","11","","75","","9999","","16/08/2009 22:19:47",""
"In1","ARR72979F","Mason",""," ","","Nguyen","","4","","227","","9952","","25/06/2003 13:06:12",""
"In1","ASG12996M","Stephan",""," ","","Keller","","5","","198","","9952","","15/07/2006 00:06:17",""
"In1","ASI81305F","Robbie","","V","","Mayo","","7","","135","","1622","","13/04/2004 11:05:22",""
"In1","ASJ86166M","Angie",""," ","","Salas","","10","","165","","1389","","14/04/2009 09:06:30",""
"In1","ASQ66839M","Sherri",""," ","","Bird","","6","","220","","0877","","28/01/2017 01:14:21",""
"In1","ASW83391F","Ernesto","","W","","Edwards","","4","","227","","9901","","09/11/2010 07:45:28",""
"In1","ATD26946M","Trenton","","<NULL>","","Campos","","6","","192","","1389","","16/08/2010 15:59:59",""
"In1","ATM59558M","Allison","","R","","Avery","","7","","120","","9999","","11/10/2015 15:43:06",""
"In1","ATP33787F","Steve",""," ","","Torres","","11","","75","","9952","","01/09/2009 06:54:45",""
"In1","ATQ57673F","Jennifer","","D","","Alvarez","","11","","75","","1756","","21/04/2015 02:07:02",""
"In1","ATQ84588F","Carolyn",""," ","","Mendez","","2","","215","","1389","","02/08/2005 13:53:57",""
"In1","ATT15727M","Garry",""," ","","Pearson","","13","","100","","0877","","09/11/2003 17:20:49",""
"In1","A-U29024M","Jenny",""," ","","Powell","","9","","170","","0736","","23/01/2000 13:45:40",""
"In1","AUA41026M","Guadalupe","","A","","Bush","","13","","100","","1389","","04/12/2005 17:53:34",""
"In1","AUE68627M","Jacquelyn","","E","","Roy","","6","","192","","0736","","16/02/2006 08:25:51",""
"In1","AUG18781F","Telly",""," ","","Briggs","","10","","165","","9901","","27/12/2013 22:06:53",""
"In1","AUG88607F","Laurie",""," ","","Willis","","11","","112","","9952","","23/08/2017 02:22:47",""
"In1","AUJ20088M","Matthew","","N","","Mullen","","11","","150","","9952","","05/10/2002 10:20:53",""
"In1","AUJ71867M","Kristy","","P","","Vang","","8","","100","","0877","","26/11/2002 07:34:28",""
"In1","AUO83347F","Moses","","M","","Daniel","","14","","100","","1756","","05/09/2006 18:56:44",""
"In1","AUP29066F","Shelby",""," ","","Alexander","","13","","35","","0877","","03/09/2018 13:00:07",""
"In1","AUW99434M","Ethan",""," ","","Russell","","11","","150","","9952","","11/09/2011 07:52:47",""
"In1","AVG75345M","Scottie","","Q","","Fisher","","8","","100","","1756","","25/10/2019 04:03:26",""
"In1","AVL12551F","Jeanette","","V","","Fischer","","10","","75","","1756","","24/04/2005 16:57:40",""
"In1","AVM21108F","Henry","","N","","Underwood","","12","","35","","9901","","20/05/2006 03:42:03",""
"In1","AVT15420M","Jerome",""," ","","Day","","11","","112","","9901","","22/11/2010 09:22:01",""
"In1","AVV26568F","Allyson","","P","","Oliver","","6","","192","","9901","","07/06/2009 11:35:16",""
"In1","AVW11190M","Margarita","","I","","Pacheco","","2","","215","","9952","","13/01/2013 02:13:22",""
"In1","AVX12563M","Rebekah",""," ","","Hall","","5","","150","","9901","","27/01/2004 07:24:24",""
"In1","A-W66101F","Meghan",""," ","","Thomas","","9","","170","","1756","","14/07/2006 21:47:58",""
"In1","AWC41859F","Jonathon",""," ","","Cherry","","5","","246","","1389","","16/09/2005 08:43:23",""
"In1","AWL47238M","Scotty",""," ","","Pennington","","5","","159","","0736","","26/04/2016 04:59:37",""
"In1","AWN87458M","Kenny",""," ","","Hoffman","","2","","215","","9999","","04/11/2002 09:53:41",""
"In1","AWR47646M","Peter","","T","","Knight","","7","","135","","0736","","23/12/2019 12:45:16",""
"In1","AWS13029F","Pedro",""," ","","Michael","","6","","192","","9901","","06/02/2012 10:47:19",""
"In1","AWY12560M","Ricardo",""," ","","Cooley","","7","","120","","1389","","15/03/2000 12:50:04",""
"In1","AWY36429M","Wendy","","D","","Wolf","","5","","150","","9999","","02/12/2010 11:19:24",""
"In1","AXI38155F","Angel",""," ","","Bowen","","6","","152","","1389","","01/03/2000 16:41:15",""
"In1","AXI59266F","Leanne",""," ","","Nunez","","11","","150","","1389","","20/06/2010 16:13:13",""
"In1","AXS98472F","Barbara","","H","","Andersen","","11","","150","","1622","","28/10/2009 05:14:35",""
"In1","AYB13239F","Dora","","Q","","Choi","","12","","100","","1389","","07/09/2016 19:24:17",""
"In1","AYB20292F","David","","P","","Ellison","","12","","35","","0736","","24/03/2010 08:42:28",""
"In1","AYD97436F","Toni","","D","","Bradford","","4","","227","","0736","","24/04/2019 03:37:25",""
"In1","AYI77561M","Yesenia","","M","","Mosley","","7","","120","","9901","","14/04/2004 08:31:19",""
"In1","AYI78546F","Josephine",""," ","","Cantrell","","5","","175","","1622","","07/05/2009 05:54:21",""
"In1","AYJ68116M","Enrique","","U","","Nicholson","","5","","175","","9999","","10/09/2012 00:01:14",""
"In1","AYO30317M","Kurt",""," ","","Bauer","","5","","172","","1622","","28/02/2017 01:56:33",""
"In1","AYX74224F","Drew",""," ","","Garrison","","6","","152","","9952","","27/04/2010 20:47:47",""
"In1","AYZ48006M","Ray","","S","","Donaldson","","8","","100","","1389","","27/08/2005 23:19:33",""
"In1","AZC62399F","Dante","","D","","Hoffman","","10","","80","","9901","","14/11/2003 04:14:57",""
"In1","AZF62231M","Elton",""," ","","Richards","","11","","150","","9999","","28/01/2011 16:07:54",""
"In1","AZJ88202M","Vanessa",""," ","","Mcfarland","","13","","64","","1622","","09/01/2007 08:51:54",""
"In1","AZP99286F","Darin",""," ","","Randall","","8","","175","","9999","","07/11/2006 11:53:12",""
"In1","AZQ66005F","Colleen",""," ","","Hartman","","10","","80","","9952","","05/05/2004 16:41:18",""
"In1","BAC30955F","Roman",""," ","","Nguyen","","11","","150","","1622","","28/11/2008 13:11:48",""
"In1","BAE31653F","Shelia",""," ","","Ballard","","11","","150","","0736","","26/11/2010 20:10:26",""
"In1","BAH87686M","Virginia","","H","","Moody","","13","","35","","0736","","04/08/2004 10:40:55",""
"In1","BAM45520M","Rusty",""," ","","Davies","","5","","172","","1756","","25/02/2014 05:07:35",""
"In1","BAP99095F","Kisha",""," ","","Roberts","","6","","152","","9901","","20/05/2005 10:32:13",""
"In1","BAU91122M","Ericka","","C","","Gaines","","13","","64","","0736","","20/03/2015 09:30:21",""
"In1","BAY99796F","Shannon",""," ","","Kent","","2","","215","","1389","","07/12/2019 14:39:50",""
"In1","B-B38872F","Maria",""," ","","Yates","","5","","198","","9952","","02/02/2007 06:04:04",""
"In1","B-B51931M","Jody",""," ","","Frazier","","11","","150","","9952","","27/09/2005 20:08:08",""
"In1","BBA83714F","Victor",""," ","","Mckinney","","8","","175","","1389","","27/04/2016 16:17:41",""
"In1","BBE45113F","William",""," ","","Chan","","8","","125","","9952","","08/01/2000 01:23:19",""
"In1","BBL54605F","Lawrence","","V","","Maxwell","","6","","140","","0736","","17/04/2016 06:18:26",""
"In1","BCC83846M","Dennis","","R","","Foley","","13","","35","","0877","","11/01/2019 07:18:08",""
"In1","BCL23791M","Amy",""," ","","Brewer","","11","","150","","0877","","19/10/2005 15:43:59",""
"In1","BCP91128F","Joe",""," ","","Harmon","","5","","175","","0736","","28/05/2015 09:41:48",""
"In1","BCR33456M","Chandra","","H","","Mora","","10","","75","","9952","","17/07/2003 01:09:28",""
"In1","BDD50647M","Julius",""," ","","Mckenzie","","6","","220","","0877","","27/10/2017 17:35:28",""
"In1","BDU16869M","Kendrick",""," ","","Hensley","","11","","112","","0877","","26/05/2002 02:30:52",""
"In1","BEL45249M","Gene",""," ","","Foley","","9","","78","","9901","","14/03/2013 16:54:53",""
"In1","BEQ88891M","Dylan",""," ","","Lamb","","10","","75","","1756","","06/06/2012 22:51:47",""
"In1","BER74854F","Gina","","T","","Mercado","","7","","195","","9901","","06/04/2010 01:48:39",""
"In1","BER88046M","Marcia","","S","","Gibson","","6","","140","","1622","","25/11/2013 06:42:47",""
"In1","BFD25930M","Gregory",""," ","","Brock","","8","","125","","1622","","22/04/2000 18:27:50",""
"In1","BFE22026M","Miranda","","S","","Solis","","12","","100","","0877","","26/11/2016 08:38:56",""
"In1","BFF30184F","Christian","","C","","Alvarado","","12","","32","","1389","","09/03/2013 16:30:45",""
"In1","BFF38158F","Jonathan","","T","","Spence","","13","","100","","9901","","28/07/2012 08:37:57",""
"In1","BFG95065F","Barry",""," ","","Duffy","","7","","120","","9999","","03/08/2002 11:48:17",""
"In1","BFN62626F","Megan","","Q","","Horton","","7","","195","","1622","","10/01/2000 01:25:18",""
"In1","BFR86062F","Julius",""," ","","Finley","","14","","89","","9999","","28/04/2016 03:05:51",""
"In1","BFT33412F","Clayton",""," ","","Ferrell","","11","","150","","1622","","18/01/2006 10:04:21",""
"In1","BGA49764F","Cherie","","H","","Lowery","","4","","227","","9901","","04/01/2014 10:50:55",""
"In1","BGE60981M","Misty",""," ","","Todd","","11","","112","","0736","","30/06/2001 06:40:50",""
"In1","BGK61156F","Ralph","","W","","Pierce","","11","","150","","9901","","18/09/2016 11:40:02",""
"In1","BGN34436F","Ira",""," ","","Acosta","","12","","35","","0877","","29/03/2011 14:10:44",""
"In1","BGP92878F","Marcos",""," ","","Wall","","11","","75","","9999","","30/05/2010 13:58:49",""
"In1","BGR46956F","James",""," ","","Braun","","14","","89","","9952","","02/03/2003 18:12:07",""
"In1","BGU38916M","Neal","","B","","Hinton","","8","","100","","1756","","28/04/2018 22:52:58",""
"In1","BGW40075M","Quentin","","A","","Chang","","5","","175","","1756","","18/04/2003 14:27:19",""
"In1","BGZ66583F","Beth","","Z","","Baxter","","12","","35","","0736","","17/06/2019 12:16:45",""
"In1","BHC49777M","Christie","","C","","Cantu","","5","","246","","1756","","22/02/2015 23:04:29",""
"In1","BHD55800F","Owen","","S","","Kirk","","6","","192","","0736","","16/08/2009 16:40:22",""
"In1","BHI11834M","Harvey","","P","","Bradshaw","","9","","75","","1756","","08/10/2019 07:34:05",""
"In1","BHJ41107M","Colby","","A","","Mckay","","9","","170","","9901","","30/12/2004 12:45:53",""
"In1","BHM32876F","Alexandra",""," ","","Barber","","10","","75","","0877","","28/05/2018 21:39:51",""
"In1","BHN45228F","Lisa",""," ","","Gibbs","","7","","135","","1622","","21/11/2001 23:08:39",""
"In1","BHO92400F","Anitra",""," ","","Werner","","7","","120","","1756","","21/02/2010 03:46:15",""
"In1","BHS27602F","Shad","","T","","Richards","","12","","100","","9901","","25/12/2011 21:20:24",""
"In1","BHU16212F","Andrea","","M","","Liu","","14","","35","","9901","","02/02/2006 13:02:53",""
"In1","BHZ16218M","Jesus",""," ","","Sanford","","9","","170","","1756","","30/09/2006 12:42:58",""
"In1","BIF16938M","Tricia","","K","","Holloway","","10","","80","","1622","","17/04/2000 13:33:04",""
"In1","BIF33942M","Bonnie","","C","","Young","","8","","100","","1756","","09/12/2007 09:01:14",""
"In1","BIO22152F","Sophia","","C","","Flowers","","5","","198","","0736","","08/07/2003 13:31:08",""
"In1","BIQ61606F","Brandi","","C","","French","","8","","100","","9999","","09/01/2016 17:00:41",""
"In1","BIY62547M","Laura","","H","","Brady","","9","","170","","0877","","27/10/2012 21:26:42",""
"In1","BJB26744F","Alice",""," ","","Wise","","5","","159","","0736","","18/11/2007 03:38:52",""
"In1","BJC23793M","Kimberley",""," ","","Crane","","10","","165","","0736","","19/07/2004 10:16:08",""
"In1","BJF48862F","Jennie",""," ","","Black","","6","","152","","1756","","20/05/2005 15:34:49",""
"In1","BJF81305M","Franklin",""," ","","Haynes","","5","","159","","9999","","08/05/2017 22:50:25",""
"In1","BJH60767F","Lawrence","","R","","Townsend","","9","","78","","1622","","15/06/2015 08:23:26",""
"In1","BJL26516M","Micah","","A","","Randolph","","9","","170","","9999","","05/09/2014 07:22:54",""
"In1","BJN21994M","Rose",""," ","","Gallegos","","7","","120","","1756","","23/10/2019 21:33:39",""
"In1","BJR16344F","Carolyn","","G","","Williamson","","9","","170","","0736","","13/10/2005 04:25:33",""
"In1","BJS53782F","Sandy","","R","","Hooper","","7","","195","","1389","","31/08/2011 01:24:15",""
"In1","BKG28018M","Jarrod","","D","","Delacruz","","14","","89","","9999","","04/06/2010 11:12:18",""
"In1","BKL61089M","Rodney","","B","","Escobar","","11","","112","","1622","","20/09/2002 10:32:26",""
"In1","BKN47486M","Dan","","O","","Zhang","","9","","75","","1756","","20/03/2003 13:58:29",""
"In1","BKP76843F","Vicky",""," ","","Sanders","","9","","170","","9999","","04/07/2013 05:59:51",""
"In1","BKT98487F","Bobby","","R","","Robertson","","10","","87","","0736","","28/05/2006 21:22:58",""
"In1","BKU34087M","Shawna",""," ","","Anthony","","9","","170","","0736","","22/08/2006 01:56:47",""
"In1","BKU42521M","Ryan",""," ","","Fisher","","7","","120","","1622","","26/02/2014 15:50:24",""
"In1","BKX36479M","Darlene","","N","","Evans","","10","","80","","9999","","19/09/2000 10:36:33",""
"In1","BKY28842F","Forrest","","E","","Montgomery","","5","","246","","9999","","30/07/2013 09:22:27",""
"In1","BLA74562M","Beth",""," ","","Burgess","","10","","165","","9952","","13/01/2005 15:57:42",""
"In1","BLL72569M","Andre",""," ","","Boyd","","10","","165","","9999","","24/02/2015 14:52:43",""
"In1","BLU91301M","Shawna",""," ","","Velasquez","","13","","64","","0877","","02/05/2003 23:46:33",""
"In1","BMB67074M","Katina",""," ","","Compton","","5","","172","","9901","","06/10/2003 21:18:02",""
"In1","BMC96524M","Karen","","Q","","Baldwin","","14","","35","","1756","","24/01/2008 19:25:16",""
"In1","BMG66226F","Andrea","","P","","Stark","","10","","165","","9952","","18/01/2012 11:31:35",""
"In1","BMH16600M","Charlotte",""," ","","Sloan","","13","","35","","9999","","06/02/2005 07:24:43",""
"In1","BMN38506M","Peggy","","<NULL>","","Bauer","","5","","172","","1622","","03/02/2017 01:53:29",""
"In1","BMR54203F","Judy","","T","","Peters","","11","","150","","0877","","13/05/2016 18:53:01",""
"In1","BMT20978M","Joanna","","D","","Ponce","","7","","195","","1756","","12/04/2016 15:40:33",""
"In1","BMV95677M","Kimberly",""," ","","Berger","","8","","175","","1622","","04/06/2005 04:40:12",""
"In1","BMY43141M","Crystal","","H","","Terry","","8","","175","","9999","","05/11/2018 14:08:00",""
"In1","BMY72340F","Mike",""," ","","Gould","","3","","200","","0877","","17/04/2016 03:43:14",""
"In1","B-N79858F","Simon",""," ","","Morris","","8","","101","","9901","","11/03/2008 16:55:58",""
"In1","BNA67102M","Rachelle",""," ","","Patrick","","8","","101","","0736","","01/11/2006 01:29:27",""
"In1","BNK21875F","Ted","","L","","Bean","","10","","165","","9901","","29/12/2018 18:17:19",""
"In1","BNQ15921F","Gordon","","S","","Benitez","","5","","175","","1622","","29/01/2006 10:27:01",""
"In1","BNS11462M","Johnathan","","T","","Ibarra","","5","","159","","0877","","05/10/2015 18:04:51",""
"In1","B-O57399F","Stuart","","E","","Carr","","11","","112","","9952","","11/11/2009 06:07:11",""
"In1","BOB16472F","Maureen","","X","","Hunt","","7","","120","","1622","","11/07/2006 19:33:04",""
"In1","BOG26156F","Terra","","R","","Knapp","","12","","32","","1756","","07/10/2003 08:36:40",""
"In1","BOH45131M","Brendan","","N","","Rush","","3","","200","","9999","","10/03/2011 19:50:52",""
"In1","BOH87690M","Cindy",""," ","","Aguilar","","7","","135","","0877","","15/08/2014 14:42:41",""
"In1","BOK16429F","Amber",""," ","","Vega","","10","","80","","0877","","11/05/2004 13:11:56",""
"In1","BOS60303F","Armando",""," ","","Alvarado","","12","","100","","1756","","13/09/2002 16:56:31",""
"In1","BOT10749M","Charles","","E","","Hill","","5","","172","","0736","","31/12/2002 09:04:01",""
"In1","B-P13285M","Sarah",""," ","","Osborn","","14","","35","","1622","","10/10/2019 16:09:24",""
"In1","BPA58589F","Terrance","","R","","Middleton","","12","","35","","9901","","15/08/2017 08:01:00",""
"In1","BPE21378F","Kate","","O","","Calhoun","","9","","75","","9901","","06/10/2010 20:32:14",""
"In1","BPF62020M","Debbie","","R","","Compton","","4","","227","","9999","","07/05/2018 16:55:11",""
"In1","BPL35123F","Crystal","","V","","Murillo","","11","","150","","9999","","26/04/2018 10:10:44",""
"In1","BPT38968M","Jimmy","","H","","Brewer","","4","","227","","9999","","09/09/2009 22:32:21",""
"In1","BPZ37939M","Yvette",""," ","","Russo","","10","","87","","1756","","10/12/2015 07:23:20",""
"In1","BPZ56464M","Kathleen","","Q","","Rollins","","7","","120","","1622","","04/02/2006 18:02:01",""
"In1","BQB27437F","Geoffrey","","B","","Schaefer","","5","","246","","9999","","18/01/2010 11:36:18",""
"In1","BQH37365F","Jess","","P","","Banks","","5","","159","","9901","","19/03/2009 22:51:47",""
"In1","BQP59545F","Jill","","D","","Everett","","11","","112","","1756","","18/10/2009 02:58:19",""
"In1","BQP73386M","Gary",""," ","","Larson","","9","","170","","1756","","12/03/2000 11:03:55",""
"In1","BQX80008F","Johnny",""," ","","Larson","","10","","80","","1622","","13/05/2014 19:24:09",""
"In1","BRH42234M","Cari","","E","","Werner","","9","","170","","0736","","24/12/2009 12:30:12",""
"In1","BRH55658F","Bryce","","<NULL>","","Yu","","10","","75","","0877","","28/06/2001 00:50:06",""
